Frequency,Manitude,Phase
Hz,dB,degree
1,-56.7865054,-72.94863943
1.023292992,-56.46107516,-64.98167191
1.047128548,-56.64410186,-70.29897451
1.071519305,-58.53272019,-74.15799019
1.096478196,-54.84198038,-65.68506541
1.122018454,-55.79238869,-71.63709339
1.148153621,-54.65074983,-75.49529766
1.174897555,-55.6263494,-74.27045458
1.202264435,-54.56163058,-69.54019671
1.230268771,-54.70121112,-68.95398098
1.258925412,-55.18888715,-71.2430761
1.288249552,-54.94876298,-71.75350626
1.318256739,-55.33449586,-67.84140639
1.348962883,-53.21214934,-66.64222983
1.380384265,-54.05640172,-76.83156855
1.412537545,-52.85083359,-73.53858583
1.445439771,-53.38251808,-70.35098978
1.479108388,-52.86438341,-74.031905
1.513561248,-51.97119969,-74.32735582
1.548816619,-51.92338314,-73.97285873
1.584893192,-51.74100449,-74.73608359
1.621810097,-51.69339651,-74.21632974
1.659586907,-51.68231094,-73.58229326
1.698243652,-51.4692564,-74.91007048
1.737800829,-50.91369615,-74.00826148
1.77827941,-50.47205894,-76.54728561
1.819700859,-51.08165377,-71.98169728
1.862087137,-49.80599862,-80.14945531
1.905460718,-50.20689328,-80.15864014
1.9498446,-50.54858178,-76.29179635
1.995262315,-49.16241648,-78.04561502
2.041737945,-49.81344038,-80.42996789
2.089296131,-49.39920558,-78.67055411
2.13796209,-49.54346223,-80.31514689
2.187761624,-48.73341921,-79.2573727
2.238721139,-48.95732734,-82.09517825
2.290867653,-48.68803676,-81.06220518
2.344228815,-48.90406469,-80.5160275
2.398832919,-48.19192616,-82.72686307
2.454708916,-48.21421455,-82.98206651
2.511886432,-48.1953831,-80.72916528
2.570395783,-48.15570638,-82.95077002
2.630267992,-48.07291802,-82.70853829
2.691534804,-47.43382407,-82.57363109
2.754228703,-47.46753735,-80.20491054
2.818382931,-47.00625258,-81.85151686
2.884031503,-47.37616382,-79.75069571
2.951209227,-47.29705377,-83.2957539
3.01995172,-46.78176364,-83.57851205
3.090295433,-46.51341836,-81.94836831
3.16227766,-46.41363305,-82.32064944
3.235936569,-45.86207432,-83.59857633
3.311311215,-46.01006338,-82.0162451
3.388441561,-46.26563132,-83.18349455
3.467368505,-45.3022011,-83.05618163
3.548133892,-45.12427889,-82.13732867
3.630780548,-45.30550216,-84.09865287
3.715352291,-44.58961737,-83.6348878
3.801893963,-44.59950565,-84.38745517
3.89045145,-44.34329411,-84.3047835
3.981071706,-44.00199334,-85.93392491
4.073802778,-43.88948472,-86.00098625
4.168693835,-43.82083134,-85.50503221
4.265795188,-43.667081,-83.45318634
4.365158322,-43.13896887,-84.68917453
4.466835922,-43.08449773,-85.78418368
4.570881896,-43.07125762,-85.75950619
4.677351413,-42.97864601,-85.62237908
4.786300923,-42.39001382,-87.29825564
4.897788194,-42.52620198,-86.9205484
5.011872336,-42.42654593,-87.01586112
5.12861384,-42.06484488,-85.55961949
5.248074602,-42.13521143,-86.58382873
5.370317964,-41.40785662,-86.4584451
5.495408739,-41.42537407,-87.31678669
5.623413252,-41.09708878,-86.59657462
5.754399373,-40.87523134,-86.65706928
5.888436554,-40.96205904,-86.85299707
6.025595861,-40.6457739,-86.30425003
6.165950019,-40.38975083,-87.25291237
6.309573445,-40.09914134,-86.93838802
6.45654229,-40.04052423,-86.46307405
6.60693448,-39.70797066,-87.88847237
6.760829754,-39.60983238,-87.7865072
